camp_name,camp_url,camp_img_url,address,postal_code,lat,long,earliest_open_date,latest_open_date,full_season,overnight_site,roofed_lodging,tenting_available,total_sites,overnight_sites,seasonal_sites,max_amperage,electrical_water_sewer,electrical_water,electrical,no_services,max_length_of_rv,activities,accessible_facilities,boating,cable_tv,controlled_access,credit_debit_cards,dumping,group_camping,hot_tub,hotspot,wifi_at_site,laundromat,pet_friendly,planned_activities,playground,propane,pull_thru_sites,rec_hall,restaurant,store,indoor_pool,lake_river_beach,outdoor_pool,toilets_pit_outside,toilets_showers
Batman's Cottages and Campground,https://campinginontario.ca/BatmansCottagesandCampground,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/27Batmans%20Cottages%20and%20Campground.JPG,"11408 Highway 6, PO Box 102, Sheguiandah, Ontario, P0P 1W0",P0P 1W0,45.89282,-81.9241,2020-05-08,2020-10-12,1,1,1,1,142,62,80,50,57,74,0,11,50,"Walking/hiking trails, Badminton, Boat rental (motorized), Boat rental (non-motorized), Fishing, Shuffleboard, Swimming (lake, river), Volleyball",0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1
Bay Meadows Park,https://campinginontario.ca/BayMeadowsPark,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/282010_07_06_1529.JPG,"153 County Rd 27, RR 3, Consecon, Ontario, K0K 1T0",K0K 1T0,43.95149,-77.35363,2020-05-10,2020-10-15,1,1,0,0,80,10,70,50,80,0,0,0,45,"Basketball, Fishing, Golf, Museum/heritage sites, Restaurants, Shuffleboard, Swimming (lake, river), Theatre (live)",1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1
Bayfort Camp,https://campinginontario.ca/BayfortCamp,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/29705-526-8704.jpg,"3321 Ogden's Beach Rd, Port McNicoll, Ontario, L0K 1R0",L0K 1R0,44.75167,-79.8476,2020-05-15,2020-10-12,1,1,0,1,200,47,153,30,4,164,0,32,40,"Cycling, Fishing, Golf, Horseshoes, Museum/heritage sites, Volleyball, Walking/hiking trails, Basketball",0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1
Bayview Park Resort,https://campinginontario.ca/BayviewParkResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/533Bayview%20Trailer%20Park%201.jpg,"160 Terrace Rd, Marmora, Ontario, K0K 2M0",K0K 2M0,44.46864,-77.74432,2020-05-01,2020-10-31,1,0,0,0,165,0,165,50,165,0,0,0,45,"ATV-friendly, Fishing, Horseshoes, Motorboats allowed, Swimming (lake, river), Water park, Water skiing",0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
Bear Ridge Campground & Cottages,https://campinginontario.ca/BearRidgeCampgroundAndCottages,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/603613-337-5533.JPG,"563 The Ridge Rd, Coe Hill, Ontario, K0L 1P0",K0L 1P0,44.84746,-77.81744,2020-05-15,2020-10-12,1,1,1,1,75,10,65,50,65,5,0,5,45,"ATV-friendly, Boat rental (motorized), Dances, Fishing, Horseback riding, Restaurants, Swimming (lake, river), Walking/hiking trails",1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1
Bell Haven Park,https://campinginontario.ca/BellHavenPark,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/35Bell%20Haven%201.jpg,"544 Peterborough County Rd 36, Trent Lakes, Ontario, K0M 1A0",K0M 1A0,44.5846,-78.51276,2020-05-08,2020-10-12,1,1,1,1,131,11,120,30,120,8,0,3,27,"Baseball, Basketball, Boat rental (motorized), Fishing, Horseshoes, Swimming (lake, river), Table tennis, Volleyball",0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1
Bensfort Bridge Resort,https://campinginontario.ca/BensfortBridgeResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/36Bensfort%20Bridge%201.JPG,"1821 County Rd 2, Bailieboro, Ontario, K0L 1B0",K0L 1B0,44.20521,-78.27837,2020-05-08,2020-10-15,1,1,1,1,50,10,40,30,45,5,0,0,40,"Badminton, Basketball, Boat rental (motorized), Fishing, Horseshoes, Motorboats allowed, Swimming (lake, river), Wildlife viewing/birding",1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1
Bingemans Camping Resort,https://campinginontario.ca/BingemansCampingResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/42Bingemans%20Cabins.jpg,"425 Bingeman Centre Dr, Kitchener, Ontario, N2B 3X7",N2B 3X7,43.47465,-80.44371,2020-05-01,2020-10-31,1,1,1,1,480,343,137,50,179,157,0,144,45,"Amusement park, Fishing, Golf (mini), Restaurants, Rock climbing/bouldering, Volleyball, Water park",1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1
Bissell's Hideaway Water Park & RV Resort,https://campinginontario.ca/BissellsHideawayWaterParkAndRVResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/46Bissells%20Hideaway%201.jpg,"205 Metler Rd, RR 1, Ridgeville, Ontario, L0S 1M0",L0S 1M0,43.06224,-79.30337,2020-05-08,2020-10-12,1,1,1,1,350,200,150,50,200,50,0,100,45,"Basketball, Fishing, Golf (mini), Rock climbing/bouldering, Table tennis, Water park, Ziplining",1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1
Blue Sky RV Resorts,https://campinginontario.ca/BlueSkyRVResorts,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/165Blue%20Sky%201.jpg,"682533 Dufferin County Rd 21, Melancthon, Ontario, L9V 2N2",L9V 2N2,44.14836,-80.31662,2020-05-10,2020-10-10,1,1,1,0,150,50,100,30,130,20,0,0,80,"ATV-friendly, Basketball, Farmers' market/stands, Golf, Horseshoes, Movies, Walking/hiking trails",0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1
Bon Echo Family Campground,https://campinginontario.ca/BonEchoFamilyCampground,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/54Bon%20Echo%20Family%20Campground.gif,"1178 Head Rd, Cloyne, Ontario, K0H 1K0",K0H 1K0,44.85106,-77.16634,2020-05-10,2020-10-04,1,1,1,1,60,3,57,30,0,60,0,0,35,"ATV-friendly, Boat rental (non-motorized), Fishing, Horseshoes, Motorboats allowed, Soccer, Swimming (lake, river)",0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1
Booth Landing Camping & Cottages,https://campinginontario.ca/BoothLandingCampingAndCottages,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/55705-724-3681.JPG,"437 Golf Course Rd, Chisholm Township, Powassan, Ontario, P0H 1Z0",P0H 1Z0,46.13524,-79.19512,2020-05-15,2020-10-15,1,1,1,0,72,10,62,30,62,10,0,0,60,"ATV-friendly, Boat rental (motorized), Boat rental (non-motorized), Fishing, Horseshoes, Mountain biking, Volleyball, Walking/hiking trails",0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1
Burnt Hills Lakeside Resort,https://campinginontario.ca/BurntHillsLakesideResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/682IMG_3012.JPG,"1109 Burnt Hills Rd, Seeley's Bay, Ontario, K0H 2N0",K0H 2N0,44.46337,-76.31028,2020-05-08,2020-10-04,1,1,1,0,82,8,74,30,12,60,5,5,40,"Cycling, Fishing, Horseshoes, Motorboats allowed, Swimming (lake, river)",0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1
Calabogie's Lakeside Camping and RV Resort,https://campinginontario.ca/CalabogiesLakesideCampingandRVResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/3700IMG_1373.JPG,"5372 Calabogie Rd Hwy 508, Calabogie, Ontario, K0J 1H0",K0J 1H0,45.29314,-76.75166,2020-05-15,2020-10-12,1,1,0,1,80,40,40,50,30,50,0,0,45,,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1
Cameron's Point Family Campground,https://campinginontario.ca/CameronsPointFamilyCampground,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/679IMG_5427-1.jpg,"19558 County Rd 2, Summerstown, Ontario, K0C 2E0",K0C 2E0,45.07564,-74.53625,2020-05-09,2020-10-13,1,1,1,0,141,11,130,30,0,137,0,4,"
","Baseball, Boat rental (non-motorized), Day use, Fishing, Movies, Restaurants, Soccer, Swimming (lake, river)",0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1
Camp Conewango,https://campinginontario.ca/CampConewango,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/67Camp%20Conewango%204.jpg,"1875 Songis Rd, Lake Talon, RR 1, Redbridge, Ontario, P0H 2A0",P0H 2A0,46.35587,-79.11418,2020-05-15,2020-10-01,1,1,1,1,71,10,61,15,0,67,0,4,34,"Boat rental (motorized), Boat rental (non-motorized), Fishing, Horseshoes, Snowmobiling, Swimming (lake, river), Walking/hiking trails, ATV-friendly",0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1
Camp Hillbilly Estates,https://campinginontario.ca/CampHillbillyEstates,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/68Camp%20Hillbilly%201.JPG,"1633 Hwy 11 S, Kilworthy, Ontario, P0E 1G0",P0E 1G0,44.84431,-79.31974,2020-05-01,2020-10-12,1,1,1,1,263,58,205,30,220,16,1,26,40,"Wine tours, Ziplining, Boat tours (scenic), Farmers' market/stands, Mountain biking",1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1
Camp Hither Hills,https://campinginontario.ca/CampHitherHills,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/69Camp%20Hither%20Hills%201.jpg,"5227 Bank St, Ottawa, Ontario, K1X 1H2",K1X 1H2,45.29134,-75.57683,2020-04-15,2020-10-31,1,1,0,1,85,70,15,50,80,0,0,5,50,"Badminton, Basketball, Day use, Soccer, Volleyball",1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1
Campark Resorts,https://campinginontario.ca/CamparkResorts,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/71Campark%20Resorts.JPG,"9387 Lundy's Lane, Hwy 20, Niagara Falls, Ontario, L2H 0T7",L2H 0T7,43.08596,-79.15815,2020-04-15,2020-11-01,1,1,1,1,252,187,65,50,192,45,0,15,90,"Wine tours, Basketball, Casino, Golf (mini), Pedal carts, Restaurants, Shopping, Volleyball",1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1
Campers Cove,https://campinginontario.ca/CampersCove,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/72Campers%20Cove.JPG,"21097 Campers Cove Rd, Wheatley, Ontario, N0P 2P0",N0P 2P0,42.1034,-82.42642,2020-05-01,2020-10-12,1,1,1,1,324,86,238,50,311,13,0,0,40,"Fishing, Shopping, Walking/hiking trails, Wildlife viewing/birding, Swimming (lake, river)",1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1
Camping Paradis Bourget,https://campinginontario.ca/CampingParadisBourget,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/632Camping%20Paradis%20Bourget%201.jpg,"4304 Champlain Rd, Bourget, Ontario, K0A 1E0",K0A 1E0,45.41677,-75.14786,2020-05-08,2020-09-27,1,1,1,1,172,47,125,30,153,12,0,7,45,"Farmers' market/stands, Water park, Walking/hiking trails, Cycling, Horseback riding, Museum/heritage sites, Restaurants, Spa",1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1
Cape Croker Park,https://campinginontario.ca/CapeCrokerPark,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/537Cape%20Crocker%20Park.jpg,"112 Park Rd, Neyaashiinigmiing, Ontario, N0H 2T0",N0H 2T0,44.89151,-81.09095,2020-05-15,2020-10-12,1,1,1,1,315,240,75,50,0,27,51,237,36,"Boat rental (non-motorized), Day use, Fishing, Mountain biking, Restaurants, Volleyball, Walking/hiking trails, Wildlife viewing/birding",0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1
Cardinal KOA,https://campinginontario.ca/CardinalKOA,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/4722golf%20course.jpg,"609 Pittston Rd, Cardinal, Ontario, K0E 1E0",K0E 1E0,44.86128,-75.4429,2020-05-08,2020-10-12,1,1,1,1,142,121,21,50,0,142,0,0,40,"Chess, Golf (mini), Movies",0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
Carol's Campsite,https://campinginontario.ca/CarolsCampsite,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/78Carols%20Campsite.jpg,"2388 Richard Lake Dr, Sudbury, Ontario, P3G 0A3",P3G 0A3,46.43203,-80.92115,2020-04-15,2020-10-31,1,1,1,1,155,85,70,30,155,0,0,0,60,"Badminton, Basketball, Boat rental (non-motorized), Dances, Fishing, Motorboats allowed, Swimming (lake, river), Volleyball",1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1
Carson's Camp,https://campinginontario.ca/CarsonsCamp,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/80519-422-1143.JPG,"110 Southampton Pkwy, Sauble Beach, Ontario, N0H 2G0",N0H 2G0,44.61873,-81.26711,2020-05-01,2020-10-12,1,1,1,0,700,230,470,30,700,0,0,0,38,"Basketball, Chess, Fitness, Horseshoes, Shuffleboard, Swimming (lake, river), Vehicle racing, Volleyball",1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1
Cedar Beach Resort,https://campinginontario.ca/CedarBeachResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/84Cedar%20Beach%20Resort.JPG,"15014 9th Line (Musselman's Lake), Stouffville, Ontario, L4A 3E7",L4A 3E7,44.0347,-79.27049,2020-04-01,2020-10-31,1,1,0,1,560,80,480,50,509,41,0,10,"
","Badminton, Baseball, Basketball, Boat rental (non-motorized), Fishing, Horseback riding, Movies, Walking/hiking trails",0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1
Cedar Park Resort,https://campinginontario.ca/CedarParkResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/88Cedar%20Park%20Resort.jpg,"6296 Cedar Park Rd, Hampton, Ontario, L1C 0W6",L1C 0W6,43.99079,-78.73753,2020-05-01,2020-10-01,0,1,0,0,100,100,0,30,100,0,0,0,40,"Fishing, Golf (mini), Tennis, Vehicle racing, Water park",1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
Cedar Valley Resort,https://campinginontario.ca/CedarValleyResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/92Cedar%20Valley%20Resort.JPG,"4739 Cedar Valley Rd, PO Box 135, Orono, Ontario, L0B 1M0",L0B 1M0,43.98018,-78.53186,2020-05-08,2020-10-12,1,1,1,1,180,10,170,30,175,0,0,5,42,"Farmers' market/stands, Fishing (guided), Golf, Shopping, Wildlife viewing/birding",1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1
Cedar Valley Trailer Park,https://campinginontario.ca/CedarValleyTrailerPark,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/1683Cedar%20Valley%20Trailer%20Park%205.jpg,"657 Thunder Bridge Rd, Lindsay, Ontario, K9V 4R1",K9V 4R1,44.38135,-78.75067,2020-05-01,2020-10-12,1,1,0,0,157,40,117,50,157,0,0,0,45,"ATV-friendly, Basketball, Cycling, Dances, Fishing, Horseshoes, Motorboats allowed",1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1
Cedardale Family Campground & Seasonal Resort,https://campinginontario.ca/CedardaleFamilyCampgroundAndCottageResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/93Cedardale%20Family%20Campground%201.jpg,"107A Cedardale Rd, RR 2, Carrying Place, Ontario, K0K 1L0",K0K 1L0,44.02158,-77.64733,2020-05-08,2020-10-12,1,1,1,1,207,28,179,30,179,15,0,13,40,"Cycling, Day use, Swimming (lake, river), Table tennis, Tennis, Volleyball, Walking/hiking trails",1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1
Country Gardens RV Park,https://campinginontario.ca/CountryGardensRVPark,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/100Country%20Gardens%201.jpg,"1335 Witmer Rd, RR 2, Petersburg, Ontario, N0B 2H0",N0B 2H0,43.38212,-80.56735,2020-05-01,2020-10-31,1,1,1,1,250,26,224,30,250,0,0,0,40,"Basketball, Dances, Fishing, Golf (mini), Horseshoes, Pedal carts, Shuffleboard, Tennis",1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1
County Shores,https://campinginontario.ca/CountyShores,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/558County%20Shores%201.JPG,"2281 CR-15, Prince Edward County, Ontario, K0K 2T0",K0K 2T0,44.15062,-77.13515,2020-05-01,2020-11-01,1,1,1,1,20,15,5,50,0,17,0,3,50,"Motorboats allowed, Horseshoes, Boat rental (motorized), Boat rental (non-motorized), Fishing, Fishing (guided), Water skiing, Wine tours",0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1
Covered Bridge Park,https://campinginontario.ca/CoveredBridgePark,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/102CBP%20Fall%202014.JPG,"1424 Round Lake Rd, Killaloe, Ontario, K0J 2A0",K0J 2A0,45.61929,-77.45512,2020-05-08,2020-11-02,1,1,1,1,47,11,36,30,47,0,0,0,41,"ATV-friendly, Boat rental (non-motorized), Fishing, Horseshoes, Walking/hiking trails",1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1
Craigleith RV Resort,https://campinginontario.ca/CraigleithRVResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/103Craigleith%201.jpg,"496875 Grey Rd 2, Clarksburg, Ontario, N0H 1J0",N0H 1J0,44.54708,-80.43496,2020-05-01,2020-10-31,1,1,0,1,111,49,62,30,88,0,0,23,45,"Badminton, Cycling, Farmers' market/stands, Fishing, Horseshoes, Pedal carts, Swimming (lake, river), Walking/hiking trails",0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1
Cubozoa Nature Resorts,https://campinginontario.ca/CubozoaNatureResortsownedandoperatedbyClearwaterLifestyleCommunitiesInc,https://campinginontario.ca/images/camping/nullbg.jpg,"935 Constant Lake Rd, Eganville, Ontario, K0J 1T0",K0J 1T0,45.41736,-77.0124,2020-06-26,2020-12-02,0,1,1,1,21,21,0,30,9,7,0,5,"
","Mountain biking, ATV-friendly, Boat rental (motorized), Boat rental (non-motorized), Fishing, Fishing (guided), Spelunking/cave exploration, Motorboats allowed",0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
Deer Lake RV Resort,https://campinginontario.ca/DeerLakeRVResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/107Deer%20Lake%20Carefree%20RV%20Resort.JPG,"85 Hutcheson Beach Rd, Huntsville, Ontario, P1H 1N4",P1H 1N4,45.34213,-79.24592,2020-05-01,2020-10-31,1,1,1,1,250,28,222,30,213,26,0,11,45,"Basketball, Boat rental (non-motorized), Fishing, Horseshoes, Motorboats allowed, Swimming (lake, river), Volleyball, Walking/hiking trails",0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1
Double M RV Resort & Campground,https://campinginontario.ca/DoubleMRVResortAndCampground,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/110Double%20M%20RV%20Resort%20and%20Campground.jpg,"101 Ridgewood Rd, RR 2, Lindsay, Ontario, K9V 4R2",K9V 4R2,44.31755,-78.7361,2020-04-15,2020-11-15,1,1,0,1,199,20,179,30,181,18,0,0,40,"Basketball, Dances, Fishing, Golf, Horseshoes, Volleyball, Walking/hiking trails, Water skiing",1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1
East Shore Campark,https://campinginontario.ca/EastShoreCampark,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/677East%20Shore%20Campark%201.jpg,"181 Melville Rd, Consecon, Ontario, K0K 1T0",K0K 1T0,44.0149,-77.41906,2020-05-15,2020-10-13,1,1,1,1,55,10,45,50,55,0,0,0,"
","Basketball, Dances, Fishing, Horseshoes, Motorboats allowed, Shuffleboard, Swimming (lake, river), Wildlife viewing/birding",1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1
